Question ID, Stage of Injury, Original Question                                                           , Prompt Inserted into LLM                                                                                                                                             , LLM Response             , Date of LLM Response Entry, Table?, 
Q032       , Subacute/Rehab , How do I manage spasticity?                                                 , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How do I manage spasticity?                                                     , Q032_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q033       , Subacute/Rehab , How can I improve my independence at home?                                  , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How can I improve my independence at home?                                      , Q033_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q034       , Subacute/Rehab , What should I do in case of an emergency?                                   , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. What should I do in case of an emergency?                                       , Q034_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q035       , Subacute/Rehab , How can I ensure my caregivers are properly trained?                        , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How can I ensure my caregivers are properly trained?                            , Q035_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q036       , Subacute/Rehab , What are the signs of complications I should watch for?                     , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. What are the signs of complications I should watch for?                         , Q036_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q037       , Subacute/Rehab , How can I stay motivated during my recovery?                                , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How can I stay motivated during my recovery?                                    , Q037_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q038       , Subacute/Rehab , How do I choose the right wheelchair?                                       , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How do I choose the right wheelchair?                                           , Q038_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q039       , Subacute/Rehab , How do I adapt my home and/or vehicle?                                      , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How do I adapt my home and/or vehicle?                                          , Q039_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q040       , Subacute/Rehab , Are there funding sources to help with adaptations of my home or vehicle?   , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. Are there funding sources to help with adaptations of my home or vehicle?       , Q040_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q041       , Subacute/Rehab , How do I get/pay for care so I can go home instead of a facility?           , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How do I get/pay for care so I can go home instead of a facility?               , Q041_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q042       , Subacute/Rehab , How will I get my needs met w/o feeling like a problem/burden?              , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How will I get my needs met w/o feeling like a problem/burden?                  , Q042_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q043       , Subacute/Rehab , How will I be able to parent my children?                                   , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How will I be able to parent my children?                                       , Q043_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q044       , Subacute/Rehab , Will I need to live in a facility?                                          , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. Will I need to live in a facility?                                              , Q044_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q045       , Transition Home, What changes will I need to make to my home?                                , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. What changes will I need to make to my home?                       , Q045_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q046       , Transition Home, Can I drive a car?                                                          , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. Can I drive a car?                                                 , Q046_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q047       , Transition Home, When should I apply for social assistance?                                  , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. When should I apply for social assistance?                         , Q047_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q048       , Transition Home, Will I be able to have children?                                            , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. Will I be able to have children?                                   , Q048_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q049       , Transition Home, What financial resources are available to help with my care?                , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. What financial resources are available to help with my care?       , Q049_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q050       , Transition Home, What kind of equipment will I need?                                         , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. What kind of equipment will I need?                                , Q050_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q051       , Transition Home, Can I return to work or school?                                             , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. Can I return to work or school?                                    , Q051_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q052       , Transition Home, How can I stay active and maintain my health?                               , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. How can I stay active and maintain my health?                      , Q052_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q053       , Transition Home, How can I connect with a peer-to-peer support group?                        , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. How can I connect with a peer-to-peer support group?               , Q053_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q054       , Transition Home, Can I travel with a spinal cord injury?                                     , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. Can I travel with a spinal cord injury?                            , Q054_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q055       , Transition Home, How can I stay connected with others?                                       , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. How can I stay connected with others?                              , Q055_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q056       , Transition Home, What are my options for home health care?                                   , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. What are my options for home health care?                          , Q056_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q057       , Transition Home, How do I handle changes in my body image and self-esteem?                   , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. How do I handle changes in my body image and self-esteem?          , No response              , 7/10/2025                 , No    , 
Q058       , Transition Home, What vocational training and education opportunities are available?         , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. What vocational training and education opportunities are available?, Q058_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q059       , Transition Home, How do I transition from hospital to home?                                  , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. How do I transition from hospital to home?                         , Q059_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q060       , Transition Home, How do I manage my relationship with PCAs?                                  , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. How do I manage my relationship with PCAs?                         , Q060_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
Q061       , Transition Home, How do I get a ramp quickly for low cost so I can go home?                  , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. How do I get a ramp quickly for low cost so I can go home?         , No response              , 7/10/2025                 , No    , 
Q062       , Transition Home, Will I have a good quality of life?                                         , I just finalized rehabilitation for spinal cord injury and I am getting ready to transition home. Will I have a good quality of life?                                , Q062_E1_R0_S0_V0_GAIO.txt, 7/10/2025                 , No    , 
